match_type,similarity_pct,a_id,a_name,a_suburb,a_state,a_postcode,a_owner,b_id,b_name,b_suburb,b_state,b_postcode,b_owner
LOCATION,100,gym-1177,Zap Fitness 24/7 Woolloongabba,woolloongabba,QLD,4102,unclaimed,8e35e55e-ec06-4fd7-b8a6-43c8a8ea5280,Functional For Life,woolloongabba,QLD,4102,unclaimed
LOCATION,100,gym-1347,CrossFit Brisbane,coorparoo,QLD,4151,unclaimed,gym-1337,ATÓRA Training Coorparoo,coorparoo,QLD,4151,unclaimed
LOCATION,100,15b9e9af-0739-4e30-80cd-bbc4e8e3bc6a,Conditioning Club,cessnock,NSW,2325,unclaimed,66e2c06e-c2eb-4896-a1d2-462b4db50879,RIP Training Cessnock,cessnock,NSW,2325,unclaimed
LOCATION,100,d6d6084b-2a72-427b-b1dd-49258aa2897a,Peek Fitness,leichhardt,NSW,2040,unclaimed,5ba554e4-7ae9-4b29-b443-14aa9ffee744,Anytime Fitness Leichhardt,leichhardt,NSW,2040,unclaimed
LOCATION,100,02d5b0f3-dd98-4313-8e60-e4c9688657c7,Waverley Gymnastics Centre (Oakleigh Campus),oakleigh,VIC,3166,unclaimed,9363b19f-96b1-46e3-b4c8-2c1665a37d54,Oakleigh Recreation Centre,oakleigh,VIC,3166,unclaimed
LOCATION,100,gym-196,Adapt Health Club,claremont,WA,6010,owner-3,ee1d85c5-c316-4039-a3ef-fda44b7e5cb5,Revo Fitness Head Office,claremont,WA,6010,unclaimed
LOCATION,100,gym-944,CorePlus Frankston - Pilates Yoga Reformer,frankston,VIC,3199,unclaimed,gym-938,REVL Training Frankston,frankston,VIC,3199,unclaimed
LOCATION,100,acd05daf-a0b5-403f-9764-bfa8cfdb6938,Apex Gym 24/7 Ashfield,ashfield,NSW,2131,unclaimed,900ceb4f-1cce-4ca6-af3f-c35907cbf9e8,5xFitness.com.au - Online Personal Training & Studio,ashfield,NSW,2131,unclaimed
LOCATION,100,bd280044-40c9-4058-ac2f-775eec6e9bd7,inLIFE Wellness Kogarah,kogarah,NSW,2217,unclaimed,f4c24f88-e3da-402f-a4d3-24e8b3283809,Vision Personal Training Kogarah,kogarah,NSW,2217,unclaimed
LOCATION,100,gym-1408,MyFitness Club Broadbeach,broadbeach,QLD,4218,unclaimed,gym-1401,Club Lime Broadbeach,broadbeach,QLD,4218,unclaimed
LOCATION,100,gym-868,Physique Club Prahran,prahran,VIC,3181,unclaimed,gym-867,Anytime Fitness Prahran,prahran,VIC,3182,unclaimed
LOCATION,100,f860d7e1-8c9f-44fc-9ec9-b4779bcbda78,Inpower Fitness,north sydney,NSW,2060,unclaimed,gym-459,Gold's Gym,north sydney,NSW,2060,unclaimed
LOCATION,100,30bfb1ea-80c8-42bd-a839-194fc729bc2e,101fitness.Glenwaverley,glen waverley,VIC,3150,unclaimed,7579ed69-4d08-4527-bb23-ca294b8e29a5,Max Power Fitness,glen waverley,VIC,3150,unclaimed
LOCATION,100,gym-1633,Empower Gym,unley,SA,5061,unclaimed,gym-1645,Studio Pilates International Unley,unley,SA,5061,unclaimed
LOCATION,100,gym-970,Aqualink Box Hill,box hill,VIC,3128,unclaimed,36266137-6c62-425b-8ea8-0a73d6e17e66,Surrey Park Swimming,box hill,VIC,3128,unclaimed
LOCATION,100,7a7ecbdf-85a0-4d50-b386-ef9534736c31,Sports Training And Recovery Australia,capalaba,QLD,4157,unclaimed,fa852f93-192f-4107-802b-dd942076c9f5,Honoured A Social Enterprise Gym,capalaba,QLD,4157,unclaimed
LOCATION,100,gym-1185,Goodlife Health Clubs Toowong,toowong,QLD,4066,unclaimed,gym-1199,Active Matters Exercise Physiology,toowong,QLD,4066,unclaimed
LOCATION,100,ec2237c8-0162-4ac5-8e88-1f7c6852feb1,Maitland Central,maitland,NSW,2320,unclaimed,40bf6c07-7c97-4240-9b38-355dc2dfbe87,Kmart Maitland,maitland,NSW,2320,unclaimed
LOCATION,100,gym-1372,Goodlife Health Clubs Nundah,nundah,QLD,4012,unclaimed,c38942c8-5996-47dc-a07a-780b3ec06e19,Studio Pilates International Nundah Village,nundah,QLD,4012,unclaimed
LOCATION,100,9118b861-2652-4281-a51c-53bc8ddfd44c,Reservoir Health & Fitness,reservoir,VIC,3072,unclaimed,8bf4cf0d-3b7a-46e3-9e7d-803d1997843d,BFT Preston,preston,VIC,3072,unclaimed
LOCATION,100,db41a524-718b-4c41-b591-4a39bc748a3a,Anytime Fitness Glebe,glebe,NSW,2037,unclaimed,4e4302e5-5772-4d4b-8d5f-89525e74f0ee,Peek Fitness Glebe,glebe,NSW,2037,unclaimed
LOCATION,100,db41a524-718b-4c41-b591-4a39bc748a3a,Anytime Fitness Glebe,glebe,NSW,2037,unclaimed,765f29d9-5be7-419d-81d8-ced3fe88734c,Plus Fitness 24/7 Glebe,glebe,NSW,2037,unclaimed
LOCATION,100,gym-138,Plus Fitness 24/7 Subiaco,subiaco,WA,6008,owner-3,89a64449-cb1b-4e29-9162-e570b6632b4f,@Pilates 24/7 Subiaco,subiaco,WA,6008,unclaimed
LOCATION,100,cf63f60f-2ab3-4d17-a69e-3f6d6b73e608,Apex Strength,coburg north,VIC,3058,unclaimed,8961b57e-7205-48b7-8734-a83f5b4ca61d,Matrix Fitness,coburg north,VIC,3058,unclaimed
LOCATION,100,c47af05d-ffd5-474f-8cd4-52b4be312154,Flex Fitness Equipment - Parafield,parafield,SA,5106,unclaimed,gym-1591,Vibe Fitness 24/7,parafield,SA,5106,unclaimed
LOCATION,100,7136fb54-890d-4a9e-ba2c-5cd0d4e1ec67,The Bay Fitness Club,lilyfield,NSW,2040,unclaimed,d62965ad-9bc5-4d9e-abe1-1ad030790058,MOVEMETHOD,lilyfield,NSW,2040,unclaimed
LOCATION,100,gym-791,Dukes Gym Richmond,richmond,VIC,3121,unclaimed,2b6fc1ef-100e-4f63-8e48-ec8169386e45,Hurt Locker,richmond,VIC,3121,unclaimed
LOCATION,100,d294f021-7935-4ea2-b2f5-8d82db054079,Coaching Zone,kelmscott,WA,2948,unclaimed,7d8dd17d-00a4-4661-8daa-bbd34a28742a,XCD Fitness Personal Training & Online Coaching,kelmscott,WA,2948,unclaimed
LOCATION,100,gym-169,Revo Fitness Innaloo,osborne park,WA,6018,owner-3,gym-260,Rumble Boxing Innaloo,innaloo,WA,6018,owner-3
LOCATION,100,669f160a-d8cb-4b3e-8bcd-cb7a9560014d,Fusion Reformer Pilates Studio,rockdale,NSW,2216,unclaimed,e583e5cf-00d7-48f7-8691-6b3f4b7ac5b8,Rockdale Pilates Reformer Mat Studio,rockdale,NSW,2216,unclaimed
LOCATION,100,gym-471,Cube Fitness,hornsby,NSW,2077,unclaimed,gym-487,Icon Gymsports,hornsby,NSW,2077,unclaimed
LOCATION,100,ff18e498-d6eb-4078-8ddb-60b98fd7ce03,The Yard Gym Burwood,burwood,NSW,2134,unclaimed,18a003a5-0b3c-4804-b51e-c0bfb0c71669,inLIFE Wellness Burwood,burwood,NSW,2134,unclaimed
LOCATION,100,gym-150,Intense Health,subiaco,WA,6008,owner-3,200052a9-d5ea-4b8f-bb72-0c681211a8ff,Scot Henderson,subiaco,WA,6008,unclaimed
LOCATION,100,gym-562,SCRIPT Strength & Fitness,castle hill,NSW,2154,unclaimed,b75eaa36-4f6e-44b1-84cf-eb4e8e9512e4,Bulldog Gym Castle Hill,castle hill,NSW,2154,unclaimed
LOCATION,100,74368461-4b3b-416d-8d06-daf7f4d8ff40,Top Set Fitness,bundall,QLD,4217,unclaimed,gym-1400,Goodlife Health Clubs Bundall,bundall,QLD,4217,unclaimed
LOCATION,100,07f76fa7-9022-44e3-9d09-65de33d7b8ce,Muse Pilates Studio Hamilton,hamilton,NSW,2303,unclaimed,58786941-6aea-4e4f-b744-2722e09af571,inLIFE Wellness Newcastle,hamilton,NSW,2303,unclaimed
LOCATION,100,07f76fa7-9022-44e3-9d09-65de33d7b8ce,Muse Pilates Studio Hamilton,hamilton,NSW,2303,unclaimed,39ed0479-5827-47f4-b0d2-34ca5bd667e5,Manisha Fitness,hamilton,NSW,2303,unclaimed
LOCATION,100,gym-206,Anytime Fitness Nedlands,claremont,WA,6009,owner-3,ce1bea2d-fa21-47ec-adfe-45fbf6c86cb0,Nes Fitness,nedlands,WA,6009,unclaimed
LOCATION,100,75fbb744-46ea-4f23-8271-bf12796393dc,Fitness Cartel Sippy Downs - 24/7 Gym,sippy downs,QLD,4556,unclaimed,f851bd3e-cdf3-4ec7-b93c-9dda074ece89,REVL Training Sippy Downs,sippy downs,QLD,4556,unclaimed
LOCATION,100,75fbb744-46ea-4f23-8271-bf12796393dc,Fitness Cartel Sippy Downs - 24/7 Gym,sippy downs,QLD,4556,unclaimed,648d406a-5adc-4dd1-8315-76491f6bb3ed,Trainr @ Fitness Cartel,sippy downs,QLD,4556,unclaimed
LOCATION,100,28754c37-ea64-4881-b5bf-ec0433911b0d,Essentials Studio Coolangatta,coolangatta,QLD,4225,unclaimed,ba3daeaa-e591-4a4d-ab78-5e9603d75336,Cooly 24/7 gym Coolangatta,coolangatta,QLD,4225,unclaimed
LOCATION,100,129ca932-cdb6-4f71-861c-8ee2c44f1fbe,Best Body Pilates - Bassendean,bassendean,WA,6054,unclaimed,d8d7c68d-22bb-4e74-88c5-1198719371ee,Jetts Bassendean,bassendean,WA,6054,unclaimed
LOCATION,100,ba6fac87-271a-48c0-a12a-bd3edde0a709,Westfield Hornsby,hornsby,NSW,2077,unclaimed,gym-477,Conditn Hornsby,hornsby,NSW,2077,unclaimed
LOCATION,100,gym-1341,Perform 360 - Coorparoo,coorparoo,QLD,4151,unclaimed,gym-1343,FIT360 Movement,coorparoo,QLD,4151,unclaimed
LOCATION,100,gym-192,SpeedFit Morley,morley,WA,6062,owner-3,gym-182,Bemore Fitness Morley,morley,WA,6062,owner-3
LOCATION,100,gym-089,inLIFE Wellness Rockingham,rockingham,WA,6168,owner-3,gym-083,RARE Fitness Rockingham,rockingham,WA,6168,owner-3
LOCATION,100,c2d89bb9-aa37-4291-a5b1-f5b4035df793,FORM Pilates,glenelg,SA,5045,unclaimed,gym-1571,Anytime Fitness Glenelg,glenelg,SA,5045,unclaimed
LOCATION,100,c2d89bb9-aa37-4291-a5b1-f5b4035df793,FORM Pilates,glenelg,SA,5045,unclaimed,904f052b-268e-4e4b-9510-592c1a5c37fb,Lilli May Fitness,glenelg,SA,5045,unclaimed
LOCATION,100,9077c73c-2989-4e8c-ac2d-3f02fd6ca5a7,Dynamique Physiotherapy + Wellness,tugun,QLD,4224,unclaimed,d65ae518-f83d-41e9-914c-3ee06199f835,The Body Method - Tugun,tugun,QLD,4224,unclaimed
LOCATION,100,6eb7e882-49cd-4c21-8635-09983ca03308,Life Hub,moorabbin,VIC,3189,unclaimed,3cc0a52a-a90a-4bcc-adc1-a6c9ec27046f,WILDFIGHTER GYM,moorabbin,VIC,3189,unclaimed
LOCATION,100,gym-500,Club Lime Gladesville,gladesville,NSW,2111,unclaimed,gym-504,Club Bodyworx,gladesville,NSW,2111,unclaimed
LOCATION,100,c52f4d95-406e-4f2d-b520-fd275d5c7a62,FWZ Strength & Fitness,aitkenvale,QLD,4814,unclaimed,43fcc539-0677-4da6-82e6-c198b3f62dd0,"Courage Training Centre (MMA, BJJ, Muay Thai and Boxing)",aitkenvale,QLD,4814,unclaimed
LOCATION,100,c52f4d95-406e-4f2d-b520-fd275d5c7a62,FWZ Strength & Fitness,aitkenvale,QLD,4814,unclaimed,6f808a1e-8fed-4712-896e-a6f14729d194,Enhanced Health and Fitness,aitkenvale,QLD,4814,unclaimed
LOCATION,100,gym-1685,Southern Fitness Wholesale,lonsdale,SA,5160,unclaimed,gym-1675,Southbound 24/7 Mega Gym,lonsdale,SA,5160,unclaimed
LOCATION,100,a6b8963d-40ec-47ce-aa1e-57157bec1823,Villa Pilates Carlton,carlton,VIC,3053,unclaimed,36b5cbf1-ff7a-4fe0-8f6c-c5b7aed66156,PhysiPole Studios Carlton,carlton,VIC,3053,unclaimed
LOCATION,100,9d5e455f-5c2f-4455-8b3b-25bf0c32160b,Nurture Fit,sippy downs,QLD,4556,unclaimed,0f199771-a60a-4948-9995-e22d76cbf5a4,Forged performance,sippy downs,QLD,4556,unclaimed
LOCATION,100,9d5e455f-5c2f-4455-8b3b-25bf0c32160b,Nurture Fit,sippy downs,QLD,4556,unclaimed,61c6e021-c96c-439d-a75e-12a6d69c88c2,Club Pilates,sippy downs,QLD,4556,unclaimed
LOCATION,100,gym-060,Strength and Motion Academy Midland 24/7 Gym,midland,WA,6056,owner-3,gym-062,Anytime Fitness Midvale,midland,WA,6056,owner-3
LOCATION,100,e3d3f585-1a47-4c0f-a882-1c21dd74dc92,WickedBodz First Class Fitness Centre,surfers paradise,QLD,4217,unclaimed,gym-1448,EMF Fitness Centre Surfers Paradise,surfers paradise,QLD,3184,unclaimed
LOCATION,100,9a25d5a8-100f-4a84-a172-36d474eae7b1,BFT Reservoir,reservoir,VIC,3073,unclaimed,901da422-92ca-4a50-b0eb-e67519f56abf,247Xercise Gym,reservoir,VIC,3073,unclaimed
LOCATION,100,9a25d5a8-100f-4a84-a172-36d474eae7b1,BFT Reservoir,reservoir,VIC,3073,unclaimed,56abf3eb-ab01-4797-a4f8-9599854c8aa0,3 Zone Recovery,reservoir,VIC,3073,unclaimed
LOCATION,100,14fe48f1-224d-4cfb-a3e5-2332f26d65d8,Elements Pole & Aerial Tingalpa,tingalpa,QLD,4173,unclaimed,gym-1364,Precision Fitness 24/7,tingalpa,QLD,4173,unclaimed
LOCATION,100,14fe48f1-224d-4cfb-a3e5-2332f26d65d8,Elements Pole & Aerial Tingalpa,tingalpa,QLD,4173,unclaimed,d8c4136d-e76c-4f92-a4b1-f3b9663fc0b0,Kai Woods Personal Training,tingalpa,QLD,4173,unclaimed
LOCATION,100,14fe48f1-224d-4cfb-a3e5-2332f26d65d8,Elements Pole & Aerial Tingalpa,tingalpa,QLD,4173,unclaimed,831dc56b-ff35-4b02-80c1-459a7070f334,Built By Brandon,tingalpa,QLD,4173,unclaimed
LOCATION,100,gym-382,Anytime Fitness Blacktown,blacktown,NSW,2148,unclaimed,gym-398,Gym Physio,blacktown,NSW,2148,unclaimed
LOCATION,100,05c583ad-efa3-48f0-afdb-05e308176a4d,Pronto Pilates - Miranda,miranda,NSW,2228,unclaimed,2072b185-647c-42c8-a997-b0c728601d08,Genisys Gymnasium,miranda,NSW,2228,unclaimed
LOCATION,100,gym-1791,Moonah Sports Centre,moonah,TAS,7009,unclaimed,gym-1795,Evolve Personal Training & Fitness,moonah,TAS,7009,unclaimed
LOCATION,100,gym-1791,Moonah Sports Centre,moonah,TAS,7009,unclaimed,2d5b737f-a284-407f-b1ef-065a20160f4c,National Fitness Southern Recreation Association,moonah,TAS,7009,unclaimed
LOCATION,100,4586ee22-67ba-4c63-9302-60b5ffd15ad8,Emerge Martial Arts,mascot,NSW,2020,unclaimed,480f9709-9ce3-4d63-b2d5-b001d68190d1,Peak_Form_Testing,mascot,NSW,2020,unclaimed
LOCATION,100,79a4e5ff-3a57-4f1c-aa4a-aa9a07e02c75,Fuel Bar - Cockburn,jandakot,WA,6164,unclaimed,b8add8aa-3b86-42e5-a168-5b7facb504e6,Roar Active Cockburn,cockburn central,WA,6164,unclaimed
LOCATION,100,gym-594,SJJA Cronulla,cronulla,NSW,2230,unclaimed,gym-584,Anytime Fitness Cronulla,cronulla,NSW,2230,unclaimed
LOCATION,100,gym-594,SJJA Cronulla,cronulla,NSW,2230,unclaimed,gym-591,RCVRI Cronulla,cronulla,NSW,2230,unclaimed
LOCATION,100,6ac85e27-f73d-4094-abb2-505c0693e2e1,1 Million Strong Gym,smithfield,QLD,4878,unclaimed,9765a61f-1838-4e61-9956-4b101c4a985c,Gymstar Fitness,smithfield,QLD,4879,unclaimed
LOCATION,100,29c11334-c3be-4e8d-8c98-db2423b2e3d0,Top Tier Strength & Conditioning,kelmscott,WA,2938,unclaimed,ad833579-22d3-4297-ad1b-884143cbaede,The Pilates Garage- Foothills Perth,kelmscott,WA,2938,unclaimed
LOCATION,100,29c11334-c3be-4e8d-8c98-db2423b2e3d0,Top Tier Strength & Conditioning,kelmscott,WA,2938,unclaimed,9470b196-2a73-4cd1-9968-fa05548da3e6,The Muay Thai Academy,kelmscott,WA,2938,unclaimed
LOCATION,100,7833c3cd-e267-401b-b368-647a50bd8093,Think 24hr Fitness,bulimba,QLD,4171,unclaimed,1c0389ea-04b5-4eb0-8294-b8803e74df37,SJJA Bulimba,bulimba,QLD,4171,unclaimed
LOCATION,100,d3d1186e-4514-4808-980d-b583da6060e1,Coast Fitness HQ,gosford,NSW,2250,unclaimed,871b865f-cf36-43a4-b48d-4dd89a4d0908,The Altitude Gym,gosford,NSW,2250,unclaimed
LOCATION,100,d3d1186e-4514-4808-980d-b583da6060e1,Coast Fitness HQ,gosford,NSW,2250,unclaimed,1513c921-e429-48d7-9abc-c1eafb4e80cc,Active Nation CC,gosford,NSW,2250,unclaimed
LOCATION,100,gym-271,Platinum Fitness Aveley,ellenbrook,WA,6069,owner-3,gym-282,Arachnid Gym,ellenbrook,WA,6069,owner-3
LOCATION,100,b85d877b-fbb6-4590-9e6d-55a5384a303a,PCYC Auburn,lidcombe,NSW,2141,unclaimed,dc74ba50-1b47-4994-974f-b426b74d6417,OLYMPIA FIT AUSTRALIA,auburn,NSW,2141,unclaimed
LOCATION,100,fc2bb185-5cf5-4882-89cd-c4372a82bb6e,Total Body PT & Fitness,old reynella,SA,5161,unclaimed,eb6d7882-470d-420e-9550-ed84e26f07f3,Zenith Fitness Academy,old reynella,SA,5161,unclaimed
LOCATION,100,gym-1219,Flow Physique,chermside,QLD,4032,unclaimed,3b490ca1-fd77-46be-b7c4-83e2e22e882a,Chermside Sports and Rehab,chermside,QLD,4032,unclaimed
LOCATION,100,fe95f8d1-1374-406f-ae69-b2647b15c223,Jetts Canning Vale South,canning vale,WA,6155,unclaimed,4fdeca5a-a159-4061-a307-ccd0b5b2dd57,Flex Fitness Equipment - Canning Vale,canning vale,WA,6155,unclaimed
LOCATION,100,fe95f8d1-1374-406f-ae69-b2647b15c223,Jetts Canning Vale South,canning vale,WA,6155,unclaimed,276538be-45cc-48fb-876c-c86f9bfbbdf2,BFT Canning Vale,canning vale,WA,6155,unclaimed
LOCATION,100,1037d03f-882f-481a-b51f-77f8ee62c1a9,F45 Training Tweed Heads,tweed heads nsw 2485,QLD,2485,unclaimed,d16bd8bf-658d-46d3-a353-7739cc8997ee,Studio 4 Higher Ground Fitness,tweed heads nsw 2485,QLD,2485,unclaimed
LOCATION,100,1fd1c703-263a-4602-bdb1-a480b64edb60,Olympian Frontiers Gym,leichhardt,NSW,2040,unclaimed,3dd0b9f6-6afb-4056-8b67-a9abc52eb382,Olympian Frontiers,leichhardt,NSW,2040,unclaimed
LOCATION,100,gym-1782,The Y Glenorchy,glenorchy,TAS,7010,unclaimed,gym-1784,YMCA Y-Fitness - Glenorchy,glenorchy,TAS,7010,unclaimed
LOCATION,100,gym-771,South Pacific Health Club St Kilda,st kilda,VIC,3182,unclaimed,gym-787,St Kilda Sea Baths Complex,st kilda,VIC,3182,unclaimed
LOCATION,100,ed28c34e-70e4-4bee-b1a0-3de11f830a1f,InnerFit Wellness & Recovery,leichhardt,NSW,2040,unclaimed,1862000e-1261-46f9-acf2-0de9662a6bd4,F45 Training Leichhardt,leichhardt,NSW,2040,unclaimed
LOCATION,100,gym-992,Fitness Fit 24 Hours,northcote,VIC,3070,unclaimed,051b3a28-6b5f-4c1c-8b70-dd5db56e302f,Kieser Northcote,northcote,VIC,3070,unclaimed
LOCATION,100,gym-992,Fitness Fit 24 Hours,northcote,VIC,3070,unclaimed,gym-998,Revive Thrive Northcote,northcote,VIC,3070,unclaimed
LOCATION,100,0750d31c-3711-4e0c-9733-916473601e1a,Good Times Training,manunda,QLD,4870,unclaimed,a9549a9c-c013-4fe1-b655-1c86b8de35da,Nukzu muay thai,manunda,QLD,4870,unclaimed
LOCATION,100,gym-1261,Over 50's Health @ Dolphins Gym,redcliffe,QLD,4021,unclaimed,gym-1259,Dolphins Fitness & Aquatic,redcliffe,QLD,4020,unclaimed
LOCATION,100,e16d1d9d-02ae-4f80-b22c-4ea85c2636a2,Fazfit,miranda,NSW,2228,unclaimed,c3ac1312-03fd-4e3e-b91e-25c05d5abb00,EMF Jnr Miranda,miranda,NSW,2228,unclaimed
LOCATION,100,e16d1d9d-02ae-4f80-b22c-4ea85c2636a2,Fazfit,miranda,NSW,2228,unclaimed,35f3afa3-8faf-4beb-b474-b02abb8f180b,EMF Performance and Recovery Centre Miranda,miranda,NSW,2228,unclaimed
LOCATION,100,32baca33-62c0-4d57-ab5b-a93be958f171,Garage Jiu Jitsu Central Coast,tuggerah,NSW,2259,unclaimed,c30e0b1c-e855-4442-8979-e11dea8fbdf6,KRÜW.HQ,tuggerah,NSW,2259,unclaimed
LOCATION,100,gym-1190,Bionic Fitness,toowong,QLD,4066,unclaimed,gym-1198,Performance Physio Fitness Health,toowong,QLD,4066,unclaimed
LOCATION,100,gym-1190,Bionic Fitness,toowong,QLD,4066,unclaimed,gym-1187,Riverside Fitness,toowong,QLD,4066,unclaimed
LOCATION,100,gym-1198,Performance Physio Fitness Health,toowong,QLD,4066,unclaimed,gym-1187,Riverside Fitness,toowong,QLD,4066,unclaimed
LOCATION,100,gym-827,Upstate Studios,fitzroy,VIC,3065,unclaimed,gym-815,Mind and Body Gym Fitzroy,fitzroy,VIC,3065,unclaimed
LOCATION,100,gym-1618,Karmony Performance & Wellbeing,norwood,SA,5067,unclaimed,gym-1622,The Nth Degree,norwood,SA,5067,unclaimed
LOCATION,100,gym-1332,Victorious Gym,woolloongabba,QLD,4102,unclaimed,7dc99aed-48b3-46b4-9e09-2dda52c38fbc,Sports & Spinal Woolloongabba,woolloongabba,QLD,4102,unclaimed
LOCATION,100,gym-234,Bolt Athletic,victoria park,WA,6100,owner-3,gym-236,Mindbody Lounge,victoria park,WA,6100,owner-3
LOCATION,100,gym-234,Bolt Athletic,victoria park,WA,6100,owner-3,gym-233,BOLT Health and Fitness,victoria park,WA,6100,owner-3
LOCATION,100,gym-234,Bolt Athletic,victoria park,WA,6100,owner-3,gym-230,20FIT Victoria Park,victoria park,WA,6100,owner-3
LOCATION,100,gym-234,Bolt Athletic,victoria park,WA,6100,owner-3,gym-227,Females over 45 Fitness,victoria park,WA,6100,owner-3
LOCATION,100,gym-392,Full Force Gym,blacktown,NSW,2148,unclaimed,gym-383,Plus Fitness 24/7 Blacktown,blacktown,NSW,2148,unclaimed
LOCATION,100,3f59127c-4c84-4ac1-a033-444f53c5774e,Coaching Zone Belmont,belmont,WA,6104,unclaimed,e7504efa-f266-40e4-b9f1-5cbf4ab9634f,Genesis Health and Fitness Belmont,belmont,WA,6104,unclaimed
LOCATION,100,gym-120,Royalty Fitness 24/7,cannington,WA,6107,owner-3,gym-129,SpeedFit Cannington,cannington,WA,6107,owner-3
